Time (s) Adjusted,grouped_wild type 2M Sbfr_Series001_Crop001_GCamP_Results_260123,grouped_wild type 2M Sbfr_Series002_Crop001_GCamP_Results_260123,grouped_wild type 2M Sbfr_Series005_Crop001_GCamP_Results_260123,grouped_wild type 2M Sbfr_Series007_Crop001_GCamP_Results_260123,grouped_wild type 2M Sbfr_Series008_Crop001_GCamP_Results_260123,grouped_wild type 2M Sbfr_Series009_Crop001_GCamP_Results_260123,grouped_wild type 2M Sbfr_Series011_Crop001_GCamP_Results_260123,grouped_wild type 2M Sbfr_Series013_Crop001_GCamP_Results_260123,grouped_wild type 2M Sbfr_Series015_Crop001_GCamP_Results_260123,grouped_wild type 2M Sbfr_Series017_Crop001_GCamP_Results_260123,grouped_wild type 2M Sbfr_Series019_Crop001_GCamP_Results_260123,grouped_wild type 2M Sbfr_Series021_Crop001_GCamP_Results_260123,grouped_wild type 2M Sbfr_Series023_Crop001_GCamP_Results_260123,grouped_wild type 2M Sbfr_Series024_Crop001_GCamP_Results_260123,grouped_wild type 2M Sbfr_Series025_Crop001_GCamP_Results_260123
6.1,-13.586925831403489,-26.000770628132557,-5.314150186242038,-9.589350670691179,-141.8044784221084,3.7515922123736765,-8.70700397061174,-1.0224178188235848,-11.705849969527133,-7.04009576614366,4.348173691872983,-2.280195630783041,-4.05507825189302,-4.556533302102949,2.238721702682744
6.2,-13.72107931161232,-25.96503038073921,-5.145045530030487,-9.270431833810571,-131.76552290391433,4.3781711616844134,-8.674506332475637,-0.32673782927999007,-11.425912305432478,-7.996384869142503,4.042679041728679,-1.8063072632349133,-3.9347054410574636,-4.429488805543382,2.072153921086308
6.3,-13.653919067178531,-20.681262526723472,-5.012275150315146,-8.760704701980893,-126.26757349985748,4.58595530796395,-8.191407652118343,-0.5122049017797412,-11.072878371384636,-7.814871343615279,3.206247933568296,-2.4095759874040574,-4.011053911030547,-4.439009994621978,1.6520123422784252
6.4,-13.470048136347796,-19.492648476302865,-4.872443077198113,-8.69607372277616,-122.65343587907557,4.226650098054396,-8.038751017587558,-0.6752798114906593,-10.277969812917354,-7.64624997676078,3.5900194562230716,-1.9029060735149095,-3.9538526270472945,-4.357917518996063,1.0523734722560327
6.5,-13.53621956977313,-26.10406485216313,-4.639755194333395,-8.356287245640575,-117.81475612186067,4.358190445676005,-7.916235080386341,-0.15482451308347134,-10.620877793368834,-7.928446687423458,3.0195071680525984,-2.5367673203226637,-4.039015428864941,-4.4247257119380805,1.0641236048794198
6.6,-13.120219172847799,-25.367858404554788,-5.264026395506713,-7.67871851515115,-111.66718755965974,4.812677212009618,-7.481428190116233,-0.6488550421728876,-10.148609425770104,4.567186239874561,1.9967111055747466,-1.8888220811291099,-4.019459912499758,-4.229683797701949,0.6234277175423237
6.7,-13.172186395582209,-20.257993071192033,-5.065604743440257,-8.28249693862861,-107.55389303874111,4.227874542984008,-7.806529754495574,-0.3493991928187299,-10.31002988101135,4.414879222037303,1.586454990911097,-2.397661978589543,-3.848917157637267,-4.024630514708898,0.7050224531533349
6.8,-13.438857311601476,-17.82231098111734,-4.674482411916939,-8.130735919348457,-103.06765910339301,4.891337182473205,-7.356559283643736,-0.9667440319186769,-9.340660570607152,-8.300532703950312,1.6693867579023518,-1.9384603249992765,-3.775554820272248,-3.923433381715828,0.6376257199773772
6.9,-13.284842526369228,-16.140327441616048,-4.251087182094588,-8.418500841354227,-98.80774318960312,-0.03710707250654899,-6.792047608501238,-0.5360510595836345,-9.214550044714816,3.4377914973790595,1.9069186941299492,-2.3560417695457616,-3.965275551721324,-4.08407775906241,-0.060087624275649176
7.0,-14.541189812331591,-16.418542053192958,-4.371563630466593,-8.606877599170693,-94.51155485245837,0.8952353043484074,-6.862358447287823,0.05832002467275377,-9.401067777642883,-8.788764205715017,2.1169897151790593,-1.5087873024284555,-3.5524804379650536,-3.994941103913874,-0.001004205130552549
